Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Volatility_7,Volume_Change,Target
2022-06-03,3019.6533203125,3440.14990234375,3477.300048828125,3431.199951171875,3459.39990234375,1913622,0.0050101964194420034,3349.4571358816966,3362.2738095238096,0.013772226047443333,-0.2800353958461801,0
2022-06-06,3011.57763671875,3430.949951171875,3453.0,3377.14990234375,3418.0,1084210,-0.002674287874957715,3378.5999930245534,3362.1952311197915,0.014377173126039153,-0.43342520100625936,0
2022-06-07,2951.670166015625,3362.699951171875,3418.85009765625,3356.0,3401.050048828125,2308256,-0.01989244989618355,3393.085693359375,3358.271414620536,0.01794392730810982,1.1289750140655408,1
2022-06-08,2988.053466796875,3404.14990234375,3413.949951171875,3346.5,3380.14990234375,2185707,0.012326390035908519,3397.2142508370534,3356.6237909226193,0.012873915567528349,-0.053091598158956366,1
2022-06-09,3008.198486328125,3427.10009765625,3437.0,3353.10009765625,3385.0,1279197,0.006741828641770198,3406.178536551339,3357.342843191964,0.012842154646386496,-0.4147445197366344,0
2022-06-10,2949.212158203125,3359.89990234375,3393.0,3352.0,3382.0,1527582,-0.019608471710078512,3406.8499581473216,3355.021414620536,0.01537071100728378,0.19417259421340116,0
2022-06-13,2826.061767578125,3219.60009765625,3293.0,3192.449951171875,3290.0,3030921,-0.04175713823784799,3377.7928292410716,3345.7214239211307,0.019329259332245025,0.9841298208541343,0
2022-06-14,2818.117431640625,3210.550048828125,3238.89990234375,3174.699951171875,3190.0,2611493,-0.0028109232679900398,3344.992850167411,3337.804757254464,0.018628080621821204,-0.138383019550823,0
2022-06-15,2814.38720703125,3206.300048828125,3234.0,3201.0,3218.5,1404536,-0.001323760706222643,3312.9000069754466,3326.123802548363,0.01871935593542442,-0.46217125605927334,0
2022-06-16,2757.9462890625,3142.0,3244.85009765625,3133.050048828125,3240.0,2032028,-0.02005428308296542,3281.3714425223216,3311.5142764136904,0.01873446008724515,0.44676106557610495,0
2022-06-17,2711.3369140625,3088.89990234375,3118.75,3023.85009765625,3092.0,5240434,-0.01690009473464349,3236.3357282366073,3303.2737978980654,0.016136589939480212,1.5789182038830174,1
2022-06-20,2731.96435546875,3112.39990234375,3138.75,3069.0,3094.0,1502769,0.0076078865430921905,3191.3785574776784,3294.6737932477677,0.016321465508158096,-0.7132357739836052,1
2022-06-21,2819.346435546875,3211.949951171875,3237.75,3125.39990234375,3130.0,2964461,0.03198498006414918,3170.242850167411,3289.4452194940477,0.023290749872565953,0.9726657922807831,1
2022-06-22,2829.00146484375,3222.949951171875,3250.550048828125,3183.0,3199.89990234375,3336315,0.0034247108974991836,3170.7214006696427,3286.3475981212796,0.01727019265342111,0.12543730546632248,1
2022-06-23,2904.35791015625,3308.800048828125,3318.0,3222.949951171875,3222.949951171875,3692578,0.0266371178444873,3184.7571149553573,3293.0690336681546,0.01979512652671254,0.1067833822645643,0
2022-06-24,2890.5771484375,3293.10009765625,3345.0,3277.5,3339.0,2132118,-0.004744907803490683,3197.1571219308034,3296.219040643601,0.02000350652326407,-0.4225936459568356,1
2022-06-27,2909.536865234375,3314.699951171875,3362.89990234375,3306.5,3350.0,2037686,0.006559124495182589,3221.828543526786,3298.761893136161,0.016970264958201906,-0.044290231591309626,1
2022-06-28,2912.565185546875,3318.14990234375,3330.0,3272.60009765625,3307.0,1400046,0.0010408034581397274,3254.578543526786,3296.0428408668154,0.013648620168011433,-0.3129235809638973,0
2022-06-29,2888.295166015625,3290.5,3333.0,3271.0,3271.0,2133994,-0.008332927431705106,3280.021414620536,3292.526169549851,0.015401364642851044,0.5242313466843231,0
2022-06-30,2867.7548828125,3267.10009765625,3310.89990234375,3255.0,3272.0,2719603,-0.007111351570809887,3287.9000069754466,3288.3309384300596,0.01200194617308574,0.2744192345433023,1
2022-07-01,2909.888916015625,3315.10009765625,3333.0,3252.050048828125,3260.0,1502879,0.014691928182559932,3301.0643136160716,3283.192847842262,0.012871291417973182,-0.4473902992458826,0
2022-07-04,2839.623291015625,3235.050048828125,3317.949951171875,3225.050048828125,3312.0,2622535,-0.024147098570181824,3290.5285993303573,3273.4261881510415,0.012356787953883515,0.7450074157666717,0
2022-07-05,2823.164306640625,3216.300048828125,3272.0,3206.949951171875,3255.0,2170627,-0.005795891784361129,3279.5571637834823,3263.204764229911,0.012385758899624991,-0.17231724266787674,1
2022-07-06,2862.181396484375,3260.75,3268.5,3202.25,3218.5,2182144,0.01382021282127277,3271.850027901786,3258.3500046502977,0.013594116753364452,0.005305840201932366,1
2022-07-07,2885.968994140625,3287.85009765625,3319.39990234375,3265.050048828125,3271.0,1989921,0.008311001351299474,3267.521484375,3252.8119187127977,0.014154679781167247,-0.08808905370131392,0
2022-07-08,2866.30712890625,3265.449951171875,3305.0,3250.0,3300.0,2136916,-0.006813007229357293,3263.9429059709823,3245.1142926897323,0.014038626514232365,0.07386976668923029,0
2022-07-11,2733.193359375,3113.800048828125,3225.0,3106.0,3206.14990234375,6974600,-0.04644073699225659,3242.042898995536,3233.3952520461307,0.02231793713668336,2.26386250091253,0
2022-07-12,2707.650634765625,3084.699951171875,3136.199951171875,3080.25,3114.89990234375,3734815,-0.00934552546725076,3209.128592354911,3226.971435546875,0.020244335292438187,-0.4645119433372523,0
2022-07-13,2667.317626953125,3038.75,3110.0,3035.0,3104.0,3863530,-0.014896084513639218,3181.0857282366073,3218.790480840774,0.019458033792306692,0.03446355441969673,0
2022-07-14,2639.154541015625,2998.75,3057.0,2967.0,3056.0,4764908,-0.013163307280954384,3150.007149832589,3208.9071451822915,0.0194716728658544,0.23330425802310328,0
2022-07-15,2635.501953125,2994.60009765625,3028.89990234375,2953.0,3018.550048828125,4574806,-0.0013838773968319895,3111.9857352120534,3201.8881022135415,0.01710304369579434,-0.039896258227860804,1
2022-07-18,2696.139404296875,3063.5,3076.949951171875,3014.300048828125,3023.0,3202795,0.023008047851756697,3079.935721261161,3200.6785830543154,0.020559370726741272,-0.2999058320724419,1
2022-07-19,2705.600830078125,3074.25,3078.949951171875,3030.050048828125,3030.050048828125,1865074,0.0035090582666883474,3052.6214425223216,3198.8619210379466,0.021175441431889194,-0.41767300123798123,1
2022-07-20,2785.292236328125,3164.800048828125,3171.949951171875,3098.050048828125,3107.800048828125,3402251,0.029454354339472966,3059.907156808036,3196.6166875930057,0.017566468938905257,0.8241908900129431,1
2022-07-21,2796.2939453125,3177.300048828125,3184.0,3144.050048828125,3167.0,2420640,0.0039496966023584434,3073.1357421875,3194.4428827194943,0.01677907288941432,-0.2885181016920856,0
2022-07-22,2790.749267578125,3171.0,3197.0,3143.5,3185.0,2075886,-0.001982830935482016,3092.0285993303573,3187.8809756324404,0.014916389628309174,-0.14242266508030932,0
2022-07-25,2787.0087890625,3166.75,3186.449951171875,3149.10009765625,3165.0,1797504,-0.0013402712078208756,3116.0285993303573,3181.864304315476,0.012890376602463857,-0.1341027397458242,0
2022-07-26,2742.256103515625,3115.89990234375,3168.89990234375,3096.5,3164.699951171875,2639367,-0.016057503009789253,3133.3571428571427,3172.397635323661,0.015565042509958856,0.4683511135441145,1
2022-07-27,2806.45849609375,3188.85009765625,3194.10009765625,3110.0,3115.0,1389808,0.023412239673561874,3151.2642996651784,3166.240501767113,0.01564012410447217,-0.47343131894882373,1
2022-07-28,2869.5166015625,3260.5,3264.0,3201.64990234375,3216.0,2106333,0.02246888381376455,3177.8714425223216,3164.8119303385415,0.016768338654995555,0.5155568251154117,1
2022-07-29,2905.951904296875,3301.89990234375,3317.300048828125,3275.0,3290.0,2430257,0.01269740909178041,3197.4571358816966,3166.469063895089,0.014302795289500198,0.15378574992653116,0
2022-08-01,2903.22412109375,3298.800048828125,3327.0,3271.0,3327.0,1306913,-0.000938809051547751,3214.814278738839,3165.69287109375,0.014546202388313896,-0.46223259515351667,0
2022-08-02,2897.063232421875,3291.800048828125,3312.89990234375,3271.64990234375,3290.0,1269114,-0.0021219837202581804,3232.0714285714284,3168.3952520461307,0.014558168139014043,-0.028922353668530354,1
2022-08-03,2939.043701171875,3339.5,3349.0,3277.050048828125,3280.0,2895824,0.014490537233224687,3256.75,3174.261916387649,0.014557923760015733,1.2817682257070682,1
2022-08-04,2952.640625,3354.949951171875,3387.89990234375,3307.35009765625,3350.0,2150567,0.004626426462606581,3290.9000069754466,3178.747628348214,0.010449951059749623,-0.25735576471498267,1
2022-08-05,2961.52978515625,3365.050048828125,3377.0,3355.0,3361.199951171875,1106933,0.00301050620821397,3316.0714285714284,3182.4238164992557,0.009052883302746034,-0.48528318345812993,1
2022-08-08,2969.80224609375,3374.449951171875,3378.89990234375,3336.0,3365.0,1068836,0.002793391541687118,3332.3499930245534,3187.6142926897323,0.006380325190967392,-0.034416717181617984,0
2022-08-10,2952.02490234375,3354.25,3385.0,3335.0,3385.0,1878359,-0.00598614632433947,3339.8285784040177,3199.0642903645835,0.00649956993221556,0.757387475721252,1
2022-08-11,3012.090576171875,3422.5,3428.699951171875,3375.050048828125,3400.0,1449248,0.020347320563464333,3357.5,3215.1500069754466,0.009177225669125991,-0.22844993954829718,0
2022-08-12,2993.652587890625,3401.550048828125,3419.0,3381.25,3419.0,1472354,-0.0061212421247260895,3373.1785714285716,3232.426199776786,0.009818957060081185,0.01594344101216638,0
2022-08-16,2985.864013671875,3392.699951171875,3414.85009765625,3387.5,3411.0,839942,-0.0026017837542325895,3380.778564453125,3251.185721261161,0.009087272928842175,-0.42952442143669256,1
